comparison_id	left_gene_set	right_gene_set	gene_symbol	status
schema_phase2_2026-05-26_bonferroni__vs__schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-05-26_bonferroni	schema_phase2_2026-07-15_bonferroni	FYN	shared
schema_phase2_2026-05-26_bonferroni__vs__schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-05-26_bonferroni	schema_phase2_2026-07-15_bonferroni	HDAC9	shared
schema_phase2_2026-05-26_bonferroni__vs__schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-05-26_bonferroni	schema_phase2_2026-07-15_bonferroni	HERC1	shared
schema_phase2_2026-05-26_bonferroni__vs__schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-05-26_bonferroni	schema_phase2_2026-07-15_bonferroni	JARID2	shared
schema_phase2_2026-05-26_bonferroni__vs__schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-05-26_bonferroni	schema_phase2_2026-07-15_bonferroni	PPP3CA	shared
schema_phase2_2026-05-26_bonferroni__vs__schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-05-26_bonferroni	schema_phase2_2026-07-15_bonferroni	PTK2	shared
schema_phase2_2026-05-26_bonferroni__vs__schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-05-26_bonferroni	schema_phase2_2026-07-15_bonferroni	RB1CC1	shared
schema_phase2_2026-05-26_bonferroni__vs__schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-05-26_bonferroni	schema_phase2_2026-07-15_bonferroni	SCAF1	shared
schema_phase2_2026-05-26_bonferroni__vs__schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-05-26_bonferroni	schema_phase2_2026-07-15_bonferroni	SCN2A	shared
schema_phase2_2026-05-26_bonferroni__vs__schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-05-26_bonferroni	schema_phase2_2026-07-15_bonferroni	SETD1A	shared
schema_phase2_2026-05-26_bonferroni__vs__schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-05-26_bonferroni	schema_phase2_2026-07-15_bonferroni	SP4	shared
schema_phase2_2026-05-26_bonferroni__vs__schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-05-26_bonferroni	schema_phase2_2026-07-15_bonferroni	STAG1	shared
schema_phase2_2026-05-26_bonferroni__vs__schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-05-26_bonferroni	schema_phase2_2026-07-15_bonferroni	TRIO	shared
