bmi_exomewide_16,bmi_exomewide_negative,bmi_exomewide_positive,epi25_dee_damaging_missense_bonferroni,epi25_dee_damaging_missense_fdr05,epi25_dee_ptv_bonferroni,epi25_dee_ptv_fdr05,epi25_epi_damaging_missense_bonferroni,epi25_epi_damaging_missense_fdr05,epi25_epi_ptv_bonferroni,epi25_epi_ptv_fdr05,epi25_gge_damaging_missense_bonferroni,epi25_gge_damaging_missense_fdr05,epi25_gge_ptv_fdr05,epi25_nafe_ptv_bonferroni,epi25_nafe_ptv_fdr05,height_207_gene_p,height_singleton_plof,height_singleton_plof_negative,height_singleton_plof_positive,legacy_ddg2p_all,legacy_ddg2p_confident,legacy_fu_asd185,legacy_fu_asd72,legacy_fu_dd309,legacy_fu_dd477,legacy_fu_ndd373,legacy_fu_ndd664,legacy_satterstrom102,legacy_schema_fdr05,legacy_schema_sig,legacy_sfari_all,legacy_sfari_hc,legacy_sfari_score1,legacy_sfari_score12,panelapp_epilepsy_all,panelapp_epilepsy_green,panelapp_intellectual_disability_all,panelapp_intellectual_disability_green,schema_2022_exomewide_10,schema_phase2_2026-04-23_bonferroni,schema_phase2_2026-04-23_fdr05,schema_phase2_2026-05-07_bonferroni,schema_phase2_2026-05-07_fdr05,schema_phase2_2026-05-26_bonferroni,schema_phase2_2026-05-26_fdr05,schema_phase2_2026-07-15_bonferroni,schema_phase2_2026-07-15_fdr05,schema_phase2_2026-08-07_bonferroni,schema_phase2_2026-08-07_fdr05,schema_phase2_2026-08-21_bonferroni,schema_phase2_2026-08-21_fdr05,sfari_all_scored,sfari_score_1,sfari_score_2,sfari_score_3,sfari_syndromic
,,,,,,,,,,,,,,,,,,,,SH3PXD2B,,,,,,,,,,,,,,,,,PRICKLE1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SHANK1,,,,,,,,,,,,,,,,,PRICKLE2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SHANK2,,,,,,,,,,,,,,,,,PRICKLE3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SHANK3,,,,,,,,,,,,,,,,,PRKACB,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SHH,,,,,,,,,,,,,,,,,PRKAR1A,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SHMT2,,,,,,,,,,,,,,,,,PRKAR1B,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SHOC2,,,,,,,,,,,,,,,,,PRKCG,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SHOX,,,,,,,,,,,,,,,,,PRKD1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SHROOM3,,,,,,,,,,,,,,,,,PRKN,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SIAH1,,,,,,,,,,,,,,,,,PRKRA,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SIK1,,,,,,,,,,,,,,,,,PRMT7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SIL1,,,,,,,,,,,,,,,,,PRMT9,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SIM1,,,,,,,,,,,,,,,,,PRODH,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SIN3A,,,,,,,,,,,,,,,,,PROP1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SIN3B,,,,,,,,,,,,,,,,,PROX2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SIX1,,,,,,,,,,,,,,,,,PRPF8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SIX3,,,,,,,,,,,,,,,,,PRPS1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SIX5,,,,,,,,,,,,,,,,,PRR12,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SIX6,,,,,,,,,,,,,,,,,PRRG1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SKI,,,,,,,,,,,,,,,,,PRRG3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SKIC2,,,,,,,,,,,,,,,,,PRRT2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SKIC3,,,,,,,,,,,,,,,,,PRSS12,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC10A7,,,,,,,,,,,,,,,,,PRSS56,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC12A5,,,,,,,,,,,,,,,,,PRUNE1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC12A6,,,,,,,,,,,,,,,,,PRX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC12A9,,,,,,,,,,,,,,,,,PSAP,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC13A1,,,,,,,,,,,,,,,,,PSAT1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC13A5,,,,,,,,,,,,,,,,,PSEN1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC16A2,,,,,,,,,,,,,,,,,PSMA7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC17A5,,,,,,,,,,,,,,,,,PSMB8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC18A2,,,,,,,,,,,,,,,,,PSMC3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC19A3,,,,,,,,,,,,,,,,,PSMC5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC1A2,,,,,,,,,,,,,,,,,PSMD10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC1A4,,,,,,,,,,,,,,,,,PSMD12,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC22A5,,,,,,,,,,,,,,,,,PSPH,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC24A4,,,,,,,,,,,,,,,,,PTBP1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC25A1,,,,,,,,,,,,,,,,,PTCH1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC25A13,,,,,,,,,,,,,,,,,PTCHD1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC25A15,,,,,,,,,,,,,,,,,PTDSS1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC25A19,,,,,,,,,,,,,,,,,PTEN,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC25A20,,,,,,,,,,,,,,,,,PTF1A,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC25A22,,,,,,,,,,,,,,,,,PTH1R,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC25A24,,,,,,,,,,,,,,,,,PTHLH,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC25A26,,,,,,,,,,,,,,,,,PTPA,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC25A38,,,,,,,,,,,,,,,,,PTPMT1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC25A4,,,,,,,,,,,,,,,,,PTPN1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC25A42,,,,,,,,,,,,,,,,,PTPN11,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC26A2,,,,,,,,,,,,,,,,,PTPN21,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC27A4,,,,,,,,,,,,,,,,,PTPN23,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC2A1,,,,,,,,,,,,,,,,,PTPN4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC2A10,,,,,,,,,,,,,,,,,PTRH2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC2A2,,,,,,,,,,,,,,,,,PTRHD1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC30A7,,,,,,,,,,,,,,,,,PTS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC31A1,,,,,,,,,,,,,,,,,PUDP,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC32A1,,,,,,,,,,,,,,,,,PUF60,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC33A1,,,,,,,,,,,,,,,,,PUM1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC35A1,,,,,,,,,,,,,,,,,PURA,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC35A2,,,,,,,,,,,,,,,,,PUS1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC35B2,,,,,,,,,,,,,,,,,PUS3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC35C1,,,,,,,,,,,,,,,,,PUS7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC35D1,,,,,,,,,,,,,,,,,PYCR1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC37A4,,,,,,,,,,,,,,,,,PYCR2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC38A3,,,,,,,,,,,,,,,,,PYGL,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC39A13,,,,,,,,,,,,,,,,,QARS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC39A14,,,,,,,,,,,,,,,,,QDPR,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC39A8,,,,,,,,,,,,,,,,,QKI,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC45A1,,,,,,,,,,,,,,,,,QRICH1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC46A1,,,,,,,,,,,,,,,,,RAB11A,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC4A1,,,,,,,,,,,,,,,,,RAB11B,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC4A10,,,,,,,,,,,,,,,,,RAB14,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC4A11,,,,,,,,,,,,,,,,,RAB18,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC4A4,,,,,,,,,,,,,,,,,RAB23,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC52A2,,,,,,,,,,,,,,,,,RAB27A,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC52A3,,,,,,,,,,,,,,,,,RAB39B,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC5A5,,,,,,,,,,,,,,,,,RAB3A,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC5A6,,,,,,,,,,,,,,,,,RAB3GAP1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC5A7,,,,,,,,,,,,,,,,,RAB3GAP2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC6A1,,,,,,,,,,,,,,,,,RAB40AL,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC6A17,,,,,,,,,,,,,,,,,RAB5C,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC6A3,,,,,,,,,,,,,,,,,RABL6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC6A5,,,,,,,,,,,,,,,,,RAC1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC6A8,,,,,,,,,,,,,,,,,RAC3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC6A9,,,,,,,,,,,,,,,,,RAD21,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC9A6,,,,,,,,,,,,,,,,,RAD50,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC9A7,,,,,,,,,,,,,,,,,RAD51,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLC9A9,,,,,,,,,,,,,,,,,RAD51C,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLF2,,,,,,,,,,,,,,,,,RAF1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLIRP,,,,,,,,,,,,,,,,,RAI1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLIT3,,,,,,,,,,,,,,,,,RALA,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SLX4,,,,,,,,,,,,,,,,,RALGAPA1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SMAD2,,,,,,,,,,,,,,,,,RALGDS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SMAD3,,,,,,,,,,,,,,,,,RANBP17,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SMAD4,,,,,,,,,,,,,,,,,RANBP2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SMAD6,,,,,,,,,,,,,,,,,RAP1B,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SMARCA2,,,,,,,,,,,,,,,,,RAP1GDS1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SMARCA4,,,,,,,,,,,,,,,,,RAPGEF1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SMARCAL1,,,,,,,,,,,,,,,,,RAPSN,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SMARCB1,,,,,,,,,,,,,,,,,RARB,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SMARCC2,,,,,,,,,,,,,,,,,RARS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SMARCD1,,,,,,,,,,,,,,,,,RARS2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SMARCE1,,,,,,,,,,,,,,,,,RASA1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SMC1A,,,,,,,,,,,,,,,,,RAX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SMC3,,,,,,,,,,,,,,,,,RBBP5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SMC5,,,,,,,,,,,,,,,,,RBBP8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SMCHD1,,,,,,,,,,,,,,,,,RBFOX1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SMG8,,,,,,,,,,,,,,,,,RBL2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SMG9,,,,,,,,,,,,,,,,,RBM10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SMO,,,,,,,,,,,,,,,,,RBM28,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SMOC1,,,,,,,,,,,,,,,,,RBM8A,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SMOC2,,,,,,,,,,,,,,,,,RBPJ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SMPD1,,,,,,,,,,,,,,,,,RBSN,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SMPD4,,,,,,,,,,,,,,,,,RDH11,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SMS,,,,,,,,,,,,,,,,,RECQL4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SNAP25,,,,,,,,,,,,,,,,,REEP1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SNAP29,,,,,,,,,,,,,,,,,REEP2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SNAPC4,,,,,,,,,,,,,,,,,RELN,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SNF8,,,,,,,,,,,,,,,,,RENBP,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SNIP1,,,,,,,,,,,,,,,,,RERE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SNORD118,,,,,,,,,,,,,,,,,RET,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SNRPB,,,,,,,,,,,,,,,,,RETREG1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SNRPE,,,,,,,,,,,,,,,,,RFT1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SNUPN,,,,,,,,,,,,,,,,,RFX3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SNX14,,,,,,,,,,,,,,,,,RFX4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SNX3,,,,,,,,,,,,,,,,,RFX6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SOBP,,,,,,,,,,,,,,,,,RFX7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SON,,,,,,,,,,,,,,,,,RGN,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SOS1,,,,,,,,,,,,,,,,,RGS7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SOS2,,,,,,,,,,,,,,,,,RHEB,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SOX10,,,,,,,,,,,,,,,,,RHOBTB2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SOX11,,,,,,,,,,,,,,,,,RIC1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SOX17,,,,,,,,,,,,,,,,,RIMS1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SOX2,,,,,,,,,,,,,,,,,RING1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SOX3,,,,,,,,,,,,,,,,,RIPK4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SOX4,,,,,,,,,,,,,,,,,RIT1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SOX5,,,,,,,,,,,,,,,,,RLIM,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SOX6,,,,,,,,,,,,,,,,,RMND1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SOX9,,,,,,,,,,,,,,,,,RMRP,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SP9,,,,,,,,,,,,,,,,,RNASEH2A,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SPAG1,,,,,,,,,,,,,,,,,RNASEH2B,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SPARC,,,,,,,,,,,,,,,,,RNASEH2C,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SPAST,,,,,,,,,,,,,,,,,RNASET2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SPECC1L,,,,,,,,,,,,,,,,,RNF113A,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SPEG,,,,,,,,,,,,,,,,,RNF125,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SPEN,,,,,,,,,,,,,,,,,RNF13,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SPG11,,,,,,,,,,,,,,,,,RNF135,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SPOP,,,,,,,,,,,,,,,,,RNF168,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SPR,,,,,,,,,,,,,,,,,RNF2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SPRED1,,,,,,,,,,,,,,,,,RNF216,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SPRED2,,,,,,,,,,,,,,,,,RNF220,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SPRTN,,,,,,,,,,,,,,,,,RNPC3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SPRY1,,,,,,,,,,,,,,,,,RNU2-2P,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SPTAN1,,,,,,,,,,,,,,,,,RNU4-2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SPTBN1,,,,,,,,,,,,,,,,,RNU4ATAC,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SPTBN2,,,,,,,,,,,,,,,,,RNU5A-1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SPTBN4,,,,,,,,,,,,,,,,,RNU5B-1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SPTLC2,,,,,,,,,,,,,,,,,RNU6ATAC,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SPTSSA,,,,,,,,,,,,,,,,,RNU7-1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SRCAP,,,,,,,,,,,,,,,,,ROBO1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SRD5A3,,,,,,,,,,,,,,,,,ROBO3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SREBF2,,,,,,,,,,,,,,,,,ROGDI,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SRGAP3,,,,,,,,,,,,,,,,,ROR2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SRP54,,,,,,,,,,,,,,,,,RORA,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SRPX2,,,,,,,,,,,,,,,,,RORB,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SRRM2,,,,,,,,,,,,,,,,,RPE65,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SRSF1,,,,,,,,,,,,,,,,,RPGR,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SRY,,,,,,,,,,,,,,,,,RPGRIP1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ST14,,,,,,,,,,,,,,,,,RPGRIP1L,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ST3GAL3,,,,,,,,,,,,,,,,,RPIA,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ST3GAL5,,,,,,,,,,,,,,,,,RPL10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,STAC3,,,,,,,,,,,,,,,,,RPS19,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,STAG1,,,,,,,,,,,,,,,,,RPS23,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,STAG2,,,,,,,,,,,,,,,,,RPS6KA3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,STAMBP,,,,,,,,,,,,,,,,,RPS6KC1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,STAR,,,,,,,,,,,,,,,,,RRAS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,STAT2,,,,,,,,,,,,,,,,,RREB1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,STAT5B,,,,,,,,,,,,,,,,,RRM2B,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,STIL,,,,,,,,,,,,,,,,,RSF1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,STIM1,,,,,,,,,,,,,,,,,RSPH1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,STN1,,,,,,,,,,,,,,,,,RSPH3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,STRA6,,,,,,,,,,,,,,,,,RSPO4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,STRADA,,,,,,,,,,,,,,,,,RSPRY1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,STS,,,,,,,,,,,,,,,,,RSRC1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,STT3A,,,,,,,,,,,,,,,,,RTEL1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,STT3B,,,,,,,,,,,,,,,,,RTL9,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,STX1A,,,,,,,,,,,,,,,,,RTN2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,STX1B,,,,,,,,,,,,,,,,,RTN4IP1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,STXBP1,,,,,,,,,,,,,,,,,RTTN,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SUCLG1,,,,,,,,,,,,,,,,,RUBCN,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SUFU,,,,,,,,,,,,,,,,,RUNX1T1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SUMF1,,,,,,,,,,,,,,,,,RUNX2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SUMO1,,,,,,,,,,,,,,,,,RUSC2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SUOX,,,,,,,,,,,,,,,,,RYR1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SUPT16H,,,,,,,,,,,,,,,,,RYR2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SURF1,,,,,,,,,,,,,,,,,RYR3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SUZ12,,,,,,,,,,,,,,,,,SACS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SYN1,,,,,,,,,,,,,,,,,SALL1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SYNCRIP,,,,,,,,,,,,,,,,,SALL4,,,,,,,,,,,,,,,,,,,
