catalog_release,gene_set_id,gene_set_size,phenotype,definition,gene_symbol,ensembl_gene_id,evidence,effect_direction,effect_beta,p_value,source_id,source_title,source_release,source_url,source_retrieved_date,source_usage_note,membership_notes
2026-08-29,epi25_dee_ptv_fdr05,11,Epilepsy,Epi25 DEE ptv; BH FDR <= 5%,NEXMIF,ENSG00000050030,FDR<=0.05,.,.,0.0,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_dee_ptv_fdr05,11,Epilepsy,Epi25 DEE ptv; BH FDR <= 5%,PCDH19,ENSG00000165194,FDR<=0.05,.,.,1.3936e-05,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_dee_ptv_fdr05,11,Epilepsy,Epi25 DEE ptv; BH FDR <= 5%,SCN1A,ENSG00000144285,FDR<=0.05,.,.,6.3195e-09,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_dee_ptv_fdr05,11,Epilepsy,Epi25 DEE ptv; BH FDR <= 5%,STX1B,ENSG00000099365,FDR<=0.05,.,.,2.2855e-07,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_dee_ptv_fdr05,11,Epilepsy,Epi25 DEE ptv; BH FDR <= 5%,STXBP1,ENSG00000136854,FDR<=0.05,.,.,2.2243e-05,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_dee_ptv_fdr05,11,Epilepsy,Epi25 DEE ptv; BH FDR <= 5%,SYNGAP1,ENSG00000197283,FDR<=0.05,.,.,5.9462e-08,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_dee_ptv_fdr05,11,Epilepsy,Epi25 DEE ptv; BH FDR <= 5%,WDR45,ENSG00000196998,FDR<=0.05,.,.,2.3762e-07,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_epi_damaging_missense_bonferroni,1,Epilepsy,Epi25 EPI damaging_missense; Bonferroni,GABRB3,ENSG00000166206,Bonferroni,.,.,6.8436e-06,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_epi_damaging_missense_fdr05,1,Epilepsy,Epi25 EPI damaging_missense; BH FDR <= 5%,GABRB3,ENSG00000166206,FDR<=0.05,.,.,6.8436e-06,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_epi_ptv_bonferroni,3,Epilepsy,Epi25 EPI ptv; Bonferroni,DEPDC5,ENSG00000100150,Bonferroni,.,.,3.4417e-15,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
